final_scores: 8 points, 8 points, 9 points, 9 points, 8 points, 8 points, 9 points

final_scores: 9 points, 8 points, 9 points, 8 points, 9 points, 9 points, 8 points

final_scores: 8 points, 7 points, 8 points, 8 points, 8 points, 9 points, 8 points

final_scores: 6 points, 5 points, 9 points, 8 points, 6 points, 8 points, 7 points

final_scores: 6 points, 6 points, 9 points, 7 points, 6 points, 8 points, 6 points

final_scores: 8 points, 7 points, 9 points, 8 points, 7 points, 9 points, 9 points

final_scores: 7 points, 7 points, 8 points, 8 points, 8 points, 7 points, 8 points

final_scores: 4, 3, 9, 8, 6, 7, 7

final_scores: 8 points, 8 points, 9 points, 8 points, 9 points, 8 points, 8 points

final_scores: 8 points, 8 points, 10 points, 9 points, 9 points, 7 points, 9 points

final_scores: 9, 8, 10, 9, 9, 7, 8

final_scores: 9 points, 8 points, 9 points, 7 points, 8 points, 8 points, 7 points

final_scores: 9 points, 8 points, 9 points, 8 points, 8 points, 7 points, 9 points

final_scores: 8 points, 7 points, 9 points, 8 points, 6 points, 8 points, 7 points

final_scores: 9 points, 9 points, 9 points, 9 points, 8 points, 8 points, 8 points

final_scores: 9 points, 9 points, 9 points, 9 points, 8 points, 8 points, 8 points

final_scores: 8 points, 9 points, 9 points, 8 points, 8 points, 7 points, 9 points

final_scores: 9 points, 9 points, 9 points, 9 points, 7 points, 8 points, 8 points

final_scores: 9 points, 8 points, 9 points, 8 points, 8 points, 7 points, 9 points

final_scores: 9 points, 8 points, 9 points, 8 points, 9 points, 9 points, 8 points
