final_scores: 3 points, 3 points, 8 points, 7 points, 5 points, 6 points, 7 points
final_scores_self: 4, 9, 9, 8, 7, 6, 8
final_scores_mutual: 4, 6, 8, 8, 5, 6, 7
final_scores: 5, 7, 9, 8, 7, 8, 8
final_scores_self: 7, 9, 9, 8, 8, 6, 8
final_scores_mutual: 8, 9, 10, 8, 7, 8, 8
final_scores: 8, 7, 9, 8, 7, 8, 8
final_scores_self: 8 points, 9 points, 9 points, 8 points, 8 points, 6 points, 8 points
final_scores_mutual: 8, 9, 9, 8, 8, 7, 8


final_scores: 9 points, 9 points, 9 points, 8 points, 8 points, 7 points, 8 points
final_scores_self: 8, 9, 9, 8, 7, 8, 8
final_scores_mutual: 9, 9, 8, 8, 9, 9, 8
final_scores: 9, 9, 8, 8, 8, 7, 8
final_scores_self: 9, 9, 10, 8, 8, 7, 8
final_scores_mutual: 8, 9, 8, 8, 7, 8, 8
final_scores: 7, 8, 9, 7, 6, 5, 7
final_scores_self: 8 points, 9 points, 8 points, 8 points, 8 points, 7 points, 8 points
final_scores_mutual: 8 points, 7 points, 8 points, 7 points, 6 points, 5 points, 7 points

